grade major tno classname
2022 自动化控制工程 55000054 2022自动化控制工程1班
2022 电气工程 55000055 2022电气工程3班
2022 电气工程 55000056 2022电气工程2班
2022 电气工程 55000057 2022电气工程1班
2022 纳米科学 55000058 2022纳米科学3班
2022 纳米科学 55000059 2022纳米科学2班
2022 纳米科学 55000060 2022纳米科学1班
2022 生物科学 55000061 2022生物科学3班
2022 生物科学 55000062 2022生物科学2班
2022 生物科学 55000063 2022生物科学1班
2022 应用物理 55000064 2022应用物理3班
2022 应用物理 55000065 2022应用物理2班
2022 应用物理 55000066 2022应用物理1班
2022 基础物理 55000067 2022基础物理3班
2022 基础物理 55000068 2022基础物理2班
2022 基础物理 55000069 2022基础物理1班
2022 管理与统计 55000070 2022管理与统计3班
2022 管理与统计 55000071 2022管理与统计2班
2022 管理与统计 55000072 2022管理与统计1班
2022 应用数学 55000073 2022应用数学3班
2022 应用数学 55000074 2022应用数学2班
2022 应用数学 55000075 2022应用数学1班
2022 基础数学 55000076 2022基础数学3班
2022 基础数学 55000077 2022基础数学2班
2022 基础数学 55000078 2022基础数学1班
2022 应用化学 55000079 2022应用化学3班
2022 应用化学 55000080 2022应用化学2班
2022 应用化学 55000081 2022应用化学1班
2022 基础化学 55000082 2022基础化学3班
2022 基础化学 55000083 2022基础化学2班
2022 基础化学 55000084 2022基础化学1班
2022 运动康复 55000085 2022运动康复3班
2022 运动康复 55000086 2022运动康复2班
2022 运动康复 55000087 2022运动康复1班
2022 篮球专项 55000088 2022篮球专项3班
2022 篮球专项 55000089 2022篮球专项2班
2022 篮球专项 55000090 2022篮球专项1班
2022 水下运动专项 55000091 2022水下运动专项3班
2022 水下运动专项 55000092 2022水下运动专项2班
2022 水下运动专项 55000093 2022水下运动专项1班
2022 健身体育 55000094 2022健身体育3班
2022 健身体育 55000095 2022健身体育2班
2022 健身体育 55000096 2022健身体育1班
2022 体育教育 55000097 2022体育教育3班
2022 体育教育 55000098 2022体育教育2班
2022 体育教育 55000099 2022体育教育1班
2022 人体科学 55000100 2022人体科学3班
2022 人体科学 55000101 2022人体科学2班
2022 人体科学 55000102 2022人体科学1班
2022 计算机视觉 55000103 2022计算机视觉3班
2022 计算机视觉 55000104 2022计算机视觉2班
2022 计算机视觉 55000105 2022计算机视觉1班
2022 自动驾驶技术 55000106 2022自动驾驶技术3班
2022 自动驾驶技术 55000107 2022自动驾驶技术2班
2022 自动驾驶技术 55000108 2022自动驾驶技术1班
2022 深度学习应用 55000109 2022深度学习应用3班
2022 深度学习应用 55000110 2022深度学习应用2班
2022 深度学习应用 55000111 2022深度学习应用1班
2022 机器学习与模式识别 55000112 2022机器学习与模式识别3班
2022 机器学习与模式识别 55000113 2022机器学习与模式识别2班
2022 机器学习与模式识别 55000114 2022机器学习与模式识别1班
2022 智能系统 55000115 2022智能系统3班
2022 智能系统 55000116 2022智能系统2班
2022 智能系统 55000117 2022智能系统1班
2021 音乐教育 55000118 2021音乐教育3班
2021 音乐教育 55000119 2021音乐教育2班
2021 音乐教育 55000120 2021音乐教育1班
2021 钢琴艺术 55000121 2021钢琴艺术3班
2021 钢琴艺术 55000122 2021钢琴艺术2班
2021 钢琴艺术 55000123 2021钢琴艺术1班
2021 舞蹈艺术 55000124 2021舞蹈艺术3班
2021 舞蹈艺术 55000125 2021舞蹈艺术2班
2021 舞蹈艺术 55000126 2021舞蹈艺术1班
2021 舞蹈教育 55000127 2021舞蹈教育3班
2021 舞蹈教育 55000128 2021舞蹈教育2班
2021 舞蹈教育 55000129 2021舞蹈教育1班
2021 歌唱学 55000130 2021歌唱学3班
2021 歌唱学 55000131 2021歌唱学2班
2021 歌唱学 55000132 2021歌唱学1班
2021 体操学 55000133 2021体操学3班
2021 体操学 55000134 2021体操学2班
2021 体操学 55000135 2021体操学1班
2021 软件工程 55000136 2021软件工程3班
2021 软件工程 55000137 2021软件工程2班
2021 软件工程 55000138 2021软件工程1班
2021 计算机科学与技术 55000139 2021计算机科学与技术3班
2021 计算机科学与技术 55000140 2021计算机科学与技术2班
2021 计算机科学与技术 55000141 2021计算机科学与技术1班
2021 大数据分析应用 55000142 2021大数据分析应用3班
2021 大数据分析应用 55000143 2021大数据分析应用2班
2021 大数据分析应用 55000144 2021大数据分析应用1班
2021 人工智能 55000145 2021人工智能3班
2021 人工智能 55000146 2021人工智能2班
2021 人工智能 55000147 2021人工智能1班
2021 飞行器设计 55000148 2021飞行器设计3班
2021 飞行器设计 55000149 2021飞行器设计2班
2021 飞行器设计 55000150 2021飞行器设计1班
2021 飞行器智能运控 55000151 2021飞行器智能运控3班
2021 飞行器智能运控 55000152 2021飞行器智能运控2班
2021 飞行器智能运控 55000153 2021飞行器智能运控1班
2021 发动机制造 55000154 2021发动机制造3班
2021 发动机制造 55000155 2021发动机制造2班
2021 发动机制造 55000156 2021发动机制造1班
2021 油画学 55000157 2021油画学3班
2021 油画学 55000158 2021油画学2班
2021 油画学 55000159 2021油画学1班
2021 服装设计 55000160 2021服装设计3班
2021 服装设计 55000161 2021服装设计2班
2021 服装设计 55000162 2021服装设计1班
2021 平面设计艺术 55000163 2021平面设计艺术3班
2021 平面设计艺术 55000164 2021平面设计艺术2班
2021 平面设计艺术 55000165 2021平面设计艺术1班
2021 国画 55000166 2021国画3班
2021 国画 55000167 2021国画2班
2021 国画 55000168 2021国画1班
2021 自动化控制工程 55000169 2021自动化控制工程3班
2021 自动化控制工程 55000170 2021自动化控制工程2班
2021 自动化控制工程 55000171 2021自动化控制工程1班
2021 电气工程 55000172 2021电气工程3班
2021 电气工程 55000173 2021电气工程2班
2021 电气工程 55000174 2021电气工程1班
2021 纳米科学 55000175 2021纳米科学3班
2021 纳米科学 55000176 2021纳米科学2班
2021 纳米科学 55000177 2021纳米科学1班
2021 生物科学 55000178 2021生物科学3班
2021 生物科学 55000179 2021生物科学2班
2021 生物科学 55000180 2021生物科学1班
2021 应用物理 55000181 2021应用物理3班
2021 应用物理 55000182 2021应用物理2班
2021 应用物理 55000183 2021应用物理1班
2021 基础物理 55000184 2021基础物理3班
2021 基础物理 55000185 2021基础物理2班
2021 基础物理 55000186 2021基础物理1班
2021 管理与统计 55000187 2021管理与统计3班
2021 管理与统计 55000188 2021管理与统计2班
2021 管理与统计 55000189 2021管理与统计1班
2021 应用数学 55000190 2021应用数学3班
2021 应用数学 55000191 2021应用数学2班
2021 应用数学 55000192 2021应用数学1班
2021 基础数学 55000193 2021基础数学3班
2021 基础数学 55000194 2021基础数学2班
2021 基础数学 55000195 2021基础数学1班
2021 应用化学 55000196 2021应用化学3班
2021 应用化学 55000197 2021应用化学2班
2021 应用化学 55000198 2021应用化学1班
2021 基础化学 55000199 2021基础化学3班
2021 基础化学 55000200 2021基础化学2班
2021 基础化学 55000201 2021基础化学1班
2021 运动康复 55000202 2021运动康复3班
2021 运动康复 55000203 2021运动康复2班
2021 运动康复 55000204 2021运动康复1班
2021 篮球专项 55000205 2021篮球专项3班
2021 篮球专项 55000206 2021篮球专项2班
2021 篮球专项 55000207 2021篮球专项1班
2021 水下运动专项 55000208 2021水下运动专项3班
2021 水下运动专项 55000209 2021水下运动专项2班
2021 水下运动专项 55000210 2021水下运动专项1班
2021 健身体育 55000211 2021健身体育3班
2021 健身体育 55000212 2021健身体育2班
2021 健身体育 55000213 2021健身体育1班
2021 体育教育 55000214 2021体育教育3班
2021 体育教育 55000215 2021体育教育2班
2021 体育教育 55000216 2021体育教育1班
2021 人体科学 55000217 2021人体科学3班
2021 人体科学 55000218 2021人体科学2班
2021 人体科学 55000219 2021人体科学1班
2021 计算机视觉 55000220 2021计算机视觉3班
2021 计算机视觉 55000221 2021计算机视觉2班
2021 计算机视觉 55000222 2021计算机视觉1班
2021 自动驾驶技术 55000223 2021自动驾驶技术3班
2021 自动驾驶技术 55000224 2021自动驾驶技术2班
2021 自动驾驶技术 55000225 2021自动驾驶技术1班
2021 深度学习应用 55000226 2021深度学习应用3班
2021 深度学习应用 55000227 2021深度学习应用2班
2021 深度学习应用 55000228 2021深度学习应用1班
2021 机器学习与模式识别 55000229 2021机器学习与模式识别3班
2021 机器学习与模式识别 55000230 2021机器学习与模式识别2班
2021 机器学习与模式识别 55000231 2021机器学习与模式识别1班
2021 智能系统 55000232 2021智能系统3班
2021 智能系统 55000233 2021智能系统2班
2021 智能系统 55000234 2021智能系统1班
2020 音乐教育 55000235 2020音乐教育3班
2020 音乐教育 55000236 2020音乐教育2班
2020 音乐教育 55000237 2020音乐教育1班
2020 钢琴艺术 55000238 2020钢琴艺术3班
2020 钢琴艺术 55000239 2020钢琴艺术2班
2020 钢琴艺术 55000240 2020钢琴艺术1班
2020 舞蹈艺术 55000241 2020舞蹈艺术3班
2020 舞蹈艺术 55000242 2020舞蹈艺术2班
2020 舞蹈艺术 55000243 2020舞蹈艺术1班
2020 舞蹈教育 55000244 2020舞蹈教育3班
2020 舞蹈教育 55000245 2020舞蹈教育2班
2020 舞蹈教育 55000246 2020舞蹈教育1班
2020 歌唱学 55000247 2020歌唱学3班
2020 歌唱学 55000248 2020歌唱学2班
2020 歌唱学 55000249 2020歌唱学1班
2020 体操学 55000250 2020体操学3班
2020 体操学 55000251 2020体操学2班
2020 体操学 55000252 2020体操学1班
2020 软件工程 55000253 2020软件工程3班
2020 软件工程 55000254 2020软件工程2班
2020 软件工程 55000255 2020软件工程1班
2020 计算机科学与技术 55000256 2020计算机科学与技术3班
2020 计算机科学与技术 55000257 2020计算机科学与技术2班
2020 计算机科学与技术 55000258 2020计算机科学与技术1班
2020 大数据分析应用 55000259 2020大数据分析应用3班
2020 大数据分析应用 55000260 2020大数据分析应用2班
2020 大数据分析应用 55000261 2020大数据分析应用1班
2020 人工智能 55000262 2020人工智能3班
2020 人工智能 55000263 2020人工智能2班
2020 人工智能 55000264 2020人工智能1班
2020 飞行器设计 55000265 2020飞行器设计3班
2020 飞行器设计 55000266 2020飞行器设计2班
2020 飞行器设计 55000267 2020飞行器设计1班
2020 飞行器智能运控 55000268 2020飞行器智能运控3班
2020 飞行器智能运控 55000269 2020飞行器智能运控2班
2020 飞行器智能运控 55000270 2020飞行器智能运控1班
2020 发动机制造 55000271 2020发动机制造3班
2020 发动机制造 55000272 2020发动机制造2班
2020 发动机制造 55000273 2020发动机制造1班
2020 油画学 55000274 2020油画学3班
2020 油画学 55000275 2020油画学2班
2020 油画学 55000276 2020油画学1班
2020 服装设计 55000277 2020服装设计3班
2020 服装设计 55000278 2020服装设计2班
2020 服装设计 55000279 2020服装设计1班
2020 平面设计艺术 55000280 2020平面设计艺术3班
2020 平面设计艺术 55000281 2020平面设计艺术2班
2020 平面设计艺术 55000282 2020平面设计艺术1班
2020 国画 55000283 2020国画3班
2020 国画 55000284 2020国画2班
2020 国画 55000285 2020国画1班
2020 自动化控制工程 55000286 2020自动化控制工程3班
2020 自动化控制工程 55000287 2020自动化控制工程2班
2020 自动化控制工程 55000288 2020自动化控制工程1班
2020 电气工程 55000289 2020电气工程3班
2020 电气工程 55000290 2020电气工程2班
2020 电气工程 55000291 2020电气工程1班
2020 纳米科学 55000292 2020纳米科学3班
2020 纳米科学 55000293 2020纳米科学2班
2020 纳米科学 55000294 2020纳米科学1班
2020 生物科学 55000295 2020生物科学3班
2020 生物科学 55000296 2020生物科学2班
2020 生物科学 55000297 2020生物科学1班
2020 应用物理 55000298 2020应用物理3班
2020 应用物理 55000299 2020应用物理2班
2020 应用物理 55000300 2020应用物理1班
2020 基础物理 55000301 2020基础物理3班
2020 基础物理 55000302 2020基础物理2班
2020 基础物理 55000303 2020基础物理1班
2020 管理与统计 55000304 2020管理与统计3班
2020 管理与统计 55000305 2020管理与统计2班
2020 管理与统计 55000306 2020管理与统计1班
2020 应用数学 55000307 2020应用数学3班
2020 应用数学 55000308 2020应用数学2班
2020 应用数学 55000309 2020应用数学1班
2020 基础数学 55000310 2020基础数学3班
2020 基础数学 55000311 2020基础数学2班
2020 基础数学 55000312 2020基础数学1班
2020 应用化学 55000313 2020应用化学3班
2020 应用化学 55000314 2020应用化学2班
2020 应用化学 55000315 2020应用化学1班
2020 基础化学 55000316 2020基础化学3班
2020 基础化学 55000317 2020基础化学2班
2020 基础化学 55000318 2020基础化学1班
2020 运动康复 55000319 2020运动康复3班
2020 运动康复 55000320 2020运动康复2班
2020 运动康复 55000321 2020运动康复1班
2020 篮球专项 55000322 2020篮球专项3班
2020 篮球专项 55000323 2020篮球专项2班
2020 篮球专项 55000324 2020篮球专项1班
2020 水下运动专项 55000325 2020水下运动专项3班
2020 水下运动专项 55000326 2020水下运动专项2班
2020 水下运动专项 55000327 2020水下运动专项1班
2020 健身体育 55000328 2020健身体育3班
2020 健身体育 55000329 2020健身体育2班
2020 健身体育 55000330 2020健身体育1班
2020 体育教育 55000331 2020体育教育3班
2020 体育教育 55000332 2020体育教育2班
2020 体育教育 55000333 2020体育教育1班
2020 人体科学 55000334 2020人体科学3班
2020 人体科学 55000335 2020人体科学2班
2020 人体科学 55000336 2020人体科学1班
2020 计算机视觉 55000337 2020计算机视觉3班
2020 计算机视觉 55000338 2020计算机视觉2班
2020 计算机视觉 55000339 2020计算机视觉1班
2020 自动驾驶技术 55000340 2020自动驾驶技术3班
2020 自动驾驶技术 55000341 2020自动驾驶技术2班
2020 自动驾驶技术 55000342 2020自动驾驶技术1班
2020 深度学习应用 55000343 2020深度学习应用3班
2020 深度学习应用 55000344 2020深度学习应用2班
2020 深度学习应用 55000345 2020深度学习应用1班
2020 机器学习与模式识别 55000346 2020机器学习与模式识别3班
2020 机器学习与模式识别 55000347 2020机器学习与模式识别2班
2020 机器学习与模式识别 55000348 2020机器学习与模式识别1班
2020 智能系统 55000349 2020智能系统3班
2020 智能系统 55000350 2020智能系统2班
2020 智能系统 55000351 2020智能系统1班
2019 音乐教育 55000352 2019音乐教育3班
2019 音乐教育 55000353 2019音乐教育2班
2019 音乐教育 55000354 2019音乐教育1班
2019 钢琴艺术 55000355 2019钢琴艺术3班
2019 钢琴艺术 55000356 2019钢琴艺术2班
2019 钢琴艺术 55000357 2019钢琴艺术1班
2019 舞蹈艺术 55000358 2019舞蹈艺术3班
2019 舞蹈艺术 55000359 2019舞蹈艺术2班
2019 舞蹈艺术 55000360 2019舞蹈艺术1班
2019 舞蹈教育 55000361 2019舞蹈教育3班
2019 舞蹈教育 55000362 2019舞蹈教育2班
2019 舞蹈教育 55000363 2019舞蹈教育1班
2019 歌唱学 55000364 2019歌唱学3班
2019 歌唱学 55000365 2019歌唱学2班
2019 歌唱学 55000366 2019歌唱学1班
2019 体操学 55000367 2019体操学3班
2019 体操学 55000368 2019体操学2班
2019 体操学 55000369 2019体操学1班
2019 软件工程 55000370 2019软件工程3班
2019 软件工程 55000371 2019软件工程2班
2019 软件工程 55000372 2019软件工程1班
2019 计算机科学与技术 55000373 2019计算机科学与技术3班
2019 计算机科学与技术 55000374 2019计算机科学与技术2班
2019 计算机科学与技术 55000375 2019计算机科学与技术1班
2019 大数据分析应用 55000376 2019大数据分析应用3班
2019 大数据分析应用 55000377 2019大数据分析应用2班
2019 大数据分析应用 55000378 2019大数据分析应用1班
2019 人工智能 55000379 2019人工智能3班
2019 人工智能 55000380 2019人工智能2班
2019 人工智能 55000381 2019人工智能1班
2019 飞行器设计 55000382 2019飞行器设计3班
2019 飞行器设计 55000383 2019飞行器设计2班
2019 飞行器设计 55000384 2019飞行器设计1班
2019 飞行器智能运控 55000385 2019飞行器智能运控3班
2019 飞行器智能运控 55000386 2019飞行器智能运控2班
2019 飞行器智能运控 55000387 2019飞行器智能运控1班
2019 发动机制造 55000388 2019发动机制造3班
2019 发动机制造 55000389 2019发动机制造2班
2019 发动机制造 55000390 2019发动机制造1班
2019 油画学 55000391 2019油画学3班
2019 油画学 55000392 2019油画学2班
2019 油画学 55000393 2019油画学1班
2019 服装设计 55000394 2019服装设计3班
2019 服装设计 55000395 2019服装设计2班
2019 服装设计 55000396 2019服装设计1班
2019 平面设计艺术 55000397 2019平面设计艺术3班
2019 平面设计艺术 55000398 2019平面设计艺术2班
2019 平面设计艺术 55000399 2019平面设计艺术1班
2019 国画 55000400 2019国画3班
2019 国画 55000401 2019国画2班
2019 国画 55000402 2019国画1班
2019 自动化控制工程 55000403 2019自动化控制工程3班
2019 自动化控制工程 55000404 2019自动化控制工程2班
2019 自动化控制工程 55000405 2019自动化控制工程1班
2019 电气工程 55000406 2019电气工程3班
2019 电气工程 55000407 2019电气工程2班
2019 电气工程 55000408 2019电气工程1班
2019 纳米科学 55000409 2019纳米科学3班
2019 纳米科学 55000410 2019纳米科学2班
2019 纳米科学 55000411 2019纳米科学1班
2019 生物科学 55000412 2019生物科学3班
2019 生物科学 55000413 2019生物科学2班
2019 生物科学 55000414 2019生物科学1班
2019 应用物理 55000415 2019应用物理3班
2019 应用物理 55000416 2019应用物理2班
2019 应用物理 55000417 2019应用物理1班
2019 基础物理 55000418 2019基础物理3班
2019 基础物理 55000419 2019基础物理2班
2019 基础物理 55000420 2019基础物理1班
2019 管理与统计 55000421 2019管理与统计3班
2019 管理与统计 55000422 2019管理与统计2班
2019 管理与统计 55000423 2019管理与统计1班
2019 应用数学 55000424 2019应用数学3班
2019 应用数学 55000425 2019应用数学2班
2019 应用数学 55000426 2019应用数学1班
2019 基础数学 55000427 2019基础数学3班
2019 基础数学 55000428 2019基础数学2班
2019 基础数学 55000429 2019基础数学1班
2019 应用化学 55000430 2019应用化学3班
2019 应用化学 55000431 2019应用化学2班
2019 应用化学 55000432 2019应用化学1班
2019 基础化学 55000433 2019基础化学3班
2019 基础化学 55000434 2019基础化学2班
2019 基础化学 55000435 2019基础化学1班
2019 运动康复 55000436 2019运动康复3班
2019 运动康复 55000437 2019运动康复2班
2019 运动康复 55000438 2019运动康复1班
2019 篮球专项 55000439 2019篮球专项3班
2019 篮球专项 55000440 2019篮球专项2班
2019 篮球专项 55000441 2019篮球专项1班
2019 水下运动专项 55000442 2019水下运动专项3班
2019 水下运动专项 55000443 2019水下运动专项2班
2019 水下运动专项 55000444 2019水下运动专项1班
2019 健身体育 55000445 2019健身体育3班
2019 健身体育 55000446 2019健身体育2班
2019 健身体育 55000447 2019健身体育1班
2019 体育教育 55000448 2019体育教育3班
2019 体育教育 55000449 2019体育教育2班
2019 体育教育 55000450 2019体育教育1班
2019 人体科学 55000451 2019人体科学3班
2019 人体科学 55000452 2019人体科学2班
2019 人体科学 55000453 2019人体科学1班
2019 计算机视觉 55000454 2019计算机视觉3班
2019 计算机视觉 55000455 2019计算机视觉2班
2019 计算机视觉 55000456 2019计算机视觉1班
2019 自动驾驶技术 55000457 2019自动驾驶技术3班
2019 自动驾驶技术 55000458 2019自动驾驶技术2班
2019 自动驾驶技术 55000459 2019自动驾驶技术1班
2019 深度学习应用 55000460 2019深度学习应用3班
2019 深度学习应用 55000461 2019深度学习应用2班
2019 深度学习应用 55000462 2019深度学习应用1班
2019 机器学习与模式识别 55000463 2019机器学习与模式识别3班
2019 机器学习与模式识别 55000464 2019机器学习与模式识别2班
2019 机器学习与模式识别 55000465 2019机器学习与模式识别1班
2019 智能系统 55000466 2019智能系统3班
2019 智能系统 55000467 2019智能系统2班
2019 智能系统 55000468 2019智能系统1班
2019 基础化学 55000469 2019基础化学1班
2019 基础化学 55000470 2019基础化学2班
2019 智能系统 55000471 2019智能系统1班
2019 智能系统 55000472 2019智能系统2班
2019 智能系统 55000473 2019智能系统3班
2019 机器学习与模式识别 55000474 2019机器学习与模式识别1班
2019 机器学习与模式识别 55000475 2019机器学习与模式识别2班
2019 机器学习与模式识别 55000476 2019机器学习与模式识别3班
2019 智能系统 55000477 2019智能系统3班
2019 机器学习与模式识别 55000478 2019机器学习与模式识别1班
2019 机器学习与模式识别 55000479 2019机器学习与模式识别2班
2019 机器学习与模式识别 55000480 2019机器学习与模式识别3班
2019 深度学习应用 55000481 2019深度学习应用1班
2019 深度学习应用 55000482 2019深度学习应用2班
2019 深度学习应用 55000483 2019深度学习应用3班
2019 深度学习应用 55000484 2019深度学习应用1班
2019 深度学习应用 55000485 2019深度学习应用2班
2019 深度学习应用 55000486 2019深度学习应用3班
2019 自动驾驶技术 55000487 2019自动驾驶技术1班
2020 发动机制造 55000488 2020发动机制造1班
2020 发动机制造 55000489 2020发动机制造2班
2020 发动机制造 55000490 2020发动机制造3班
2020 发动机制造 55000491 2020发动机制造2班
2020 发动机制造 55000492 2020发动机制造3班
2020 飞行器智能运控 55000493 2020飞行器智能运控1班
2020 飞行器智能运控 55000494 2020飞行器智能运控2班
2020 飞行器智能运控 55000495 2020飞行器智能运控3班
2021 电气工程 55000496 2021电气工程1班
2021 电气工程 55000497 2021电气工程2班
2021 电气工程 55000498 2021电气工程3班
2021 自动化控制工程 55000499 2021自动化控制工程1班
2021 自动化控制工程 55000500 2021自动化控制工程1班
2021 自动化控制工程 55000501 2021自动化控制工程2班
2019 运动康复 55000502 2019运动康复2班
2019 运动康复 55000503 2019运动康复3班
2020 人体科学 55000504 2020人体科学1班
2019 运动康复 55000505 2019运动康复3班
2020 人体科学 55000506 2020人体科学1班
2020 服装设计 55000507 2020服装设计2班
2020 服装设计 55000508 2020服装设计3班
2020 油画学 55000509 2020油画学1班
2020 油画学 55000510 2020油画学2班
2020 油画学 55000511 2020油画学3班
2020 服装设计 55000512 2020服装设计2班
2020 服装设计 55000513 2020服装设计3班
2020 油画学 55000514 2020油画学1班
2020 油画学 55000515 2020油画学2班
2020 油画学 55000516 2020油画学3班
2021 国画 55000517 2021国画1班
2021 国画 55000518 2021国画2班
2021 国画 55000519 2021国画3班
2021 国画 55000520 2021国画1班
2021 国画 55000521 2021国画2班
2021 国画 55000522 2021国画3班
2019 应用化学 55000523 2019应用化学1班
2019 应用化学 55000524 2019应用化学2班
2019 应用化学 55000525 2019应用化学3班
2020 基础化学 55000526 2020基础化学1班
2020 基础化学 55000527 2020基础化学2班
2019 应用化学 55000528 2019应用化学1班
2019 应用化学 55000529 2019应用化学2班
2019 应用化学 55000530 2019应用化学3班
2020 基础化学 55000531 2020基础化学1班
2020 篮球专项 55000532 2020篮球专项3班
2020 运动康复 55000533 2020运动康复1班
2020 运动康复 55000534 2020运动康复2班
2020 篮球专项 55000535 2020篮球专项2班
2020 篮球专项 55000536 2020篮球专项3班
2021 油画学 55000537 2021油画学3班
2022 国画 55000538 2022国画1班
2022 国画 55000539 2022国画2班
2022 国画 55000540 2022国画3班
2022 平面设计艺术 55000541 2022平面设计艺术1班
2021 油画学 55000542 2021油画学1班
2021 油画学 55000543 2021油画学2班
2021 油画学 55000544 2021油画学3班
2021 应用物理 55000545 2021应用物理2班
2021 应用物理 55000546 2021应用物理3班
2022 基础物理 55000547 2022基础物理1班
2022 基础物理 55000548 2022基础物理2班
2022 基础物理 55000549 2022基础物理3班
2021 基础物理 55000550 2021基础物理1班
2021 基础物理 55000551 2021基础物理2班
2021 基础物理 55000552 2021基础物理3班
2022 应用化学 55000553 2022应用化学1班
2022 应用化学 55000554 2022应用化学2班
2022 应用化学 55000555 2022应用化学3班
2019 基础化学 55000556 2019基础化学1班
2019 基础化学 55000557 2019基础化学2班
2019 基础化学 55000558 2019基础化学3班
2021 应用化学 55000559 2021应用化学1班
2021 应用化学 55000560 2021应用化学2班
2021 应用化学 55000561 2021应用化学3班
2022 基础化学 55000562 2022基础化学1班
2022 基础化学 55000563 2022基础化学2班
2020 管理与统计 55000564 2020管理与统计1班
2020 管理与统计 55000565 2020管理与统计2班
2020 管理与统计 55000566 2020管理与统计3班
2021 基础数学 55000567 2021基础数学1班
2021 基础数学 55000568 2021基础数学2班
2019 管理与统计 55000569 2019管理与统计3班
2020 基础数学 55000570 2020基础数学1班
2020 基础数学 55000571 2020基础数学2班
2020 基础数学 55000572 2020基础数学3班
2020 基础化学 55000573 2020基础化学3班
2020 应用化学 55000574 2020应用化学1班
2020 应用化学 55000575 2020应用化学2班
2020 应用化学 55000576 2020应用化学3班
2021 基础化学 55000577 2021基础化学1班
2019 基础化学 55000578 2019基础化学1班
2019 基础化学 55000579 2019基础化学2班
2019 基础化学 55000580 2019基础化学3班
2019 应用化学 55000581 2019应用化学1班
2022 健身体育 55000582 2022健身体育2班
2022 健身体育 55000583 2022健身体育3班
2022 水下运动专项 55000584 2022水下运动专项1班
2022 水下运动专项 55000585 2022水下运动专项2班
2022 水下运动专项 55000586 2022水下运动专项3班
2022 篮球专项 55000587 2022篮球专项1班
2021 运动康复 55000588 2021运动康复2班
2021 运动康复 55000589 2021运动康复3班
2022 人体科学 55000590 2022人体科学1班
2022 人体科学 55000591 2022人体科学2班
2022 人体科学 55000592 2022人体科学3班
2022 基础化学 55000593 2022基础化学2班
2022 基础化学 55000594 2022基础化学3班
2022 应用化学 55000595 2022应用化学1班
2022 应用化学 55000596 2022应用化学2班
2022 应用化学 55000597 2022应用化学3班
2020 应用化学 55000598 2020应用化学1班
2020 应用化学 55000599 2020应用化学2班
2020 应用化学 55000600 2020应用化学3班
2021 基础化学 55000601 2021基础化学1班
2021 基础化学 55000602 2021基础化学2班
2019 基础化学 55000603 2019基础化学1班
2019 基础化学 55000604 2019基础化学2班
2019 基础化学 55000605 2019基础化学3班
2019 应用化学 55000606 2019应用化学1班
2019 应用化学 55000607 2019应用化学2班
