bname floors clsNo isUsing
教学楼二 7 2-203 0
教学楼二 7 2-204 0
教学楼二 7 2-205 0
教学楼二 7 2-206 0
教学楼二 7 2-207 0
教学楼二 7 2-208 0
教学楼二 7 2-209 0
教学楼二 7 2-210 0
教学楼二 7 2-211 0
教学楼二 7 2-212 0
教学楼二 7 2-301 0
教学楼二 7 2-302 0
教学楼二 7 2-303 0
教学楼二 7 2-304 0
教学楼二 7 2-305 0
教学楼二 7 2-306 0
教学楼二 7 2-307 0
教学楼二 7 2-308 0
教学楼二 7 2-309 0
教学楼二 7 2-310 0
教学楼二 7 2-311 0
教学楼二 7 2-312 0
教学楼二 7 2-401 0
教学楼二 7 2-402 0
教学楼二 7 2-403 0
教学楼二 7 2-404 0
教学楼二 7 2-405 0
教学楼二 7 2-406 0
教学楼二 7 2-407 0
教学楼二 7 2-408 0
教学楼二 7 2-409 0
教学楼二 7 2-410 0
教学楼二 7 2-411 0
教学楼二 7 2-412 0
教学楼二 7 2-501 0
教学楼二 7 2-502 0
教学楼二 7 2-503 0
教学楼二 7 2-504 0
教学楼二 7 2-505 0
教学楼二 7 2-506 0
教学楼二 7 2-507 0
教学楼二 7 2-508 0
教学楼二 7 2-509 0
教学楼二 7 2-510 0
教学楼二 7 2-511 0
教学楼二 7 2-512 0
教学楼二 7 2-601 0
教学楼二 7 2-602 0
教学楼二 7 2-603 0
教学楼二 7 2-604 0
教学楼二 7 2-605 0
教学楼二 7 2-606 0
教学楼二 7 2-607 0
教学楼二 7 2-608 0
教学楼二 7 2-609 0
教学楼二 7 2-610 0
教学楼二 7 2-611 0
教学楼二 7 2-612 0
教学楼二 7 2-701 0
教学楼二 7 2-702 0
教学楼二 7 2-703 0
教学楼二 7 2-704 0
教学楼二 7 2-705 0
教学楼二 7 2-706 0
教学楼二 7 2-707 0
教学楼二 7 2-708 0
教学楼二 7 2-709 0
教学楼二 7 2-710 0
教学楼二 7 2-711 0
教学楼二 7 2-712 0
教学楼三 7 3-101 0
教学楼三 7 3-102 0
教学楼三 7 3-103 0
教学楼三 7 3-104 0
教学楼三 7 3-105 0
教学楼三 7 3-106 0
教学楼三 7 3-107 0
教学楼三 7 3-108 0
教学楼三 7 3-109 0
教学楼三 7 3-110 0
教学楼三 7 3-111 0
教学楼三 7 3-112 0
教学楼三 7 3-201 0
教学楼三 7 3-202 0
教学楼三 7 3-203 0
教学楼三 7 3-204 0
教学楼三 7 3-205 0
教学楼三 7 3-206 0
教学楼三 7 3-207 0
教学楼三 7 3-208 0
教学楼三 7 3-209 0
教学楼三 7 3-210 0
教学楼三 7 3-211 0
教学楼三 7 3-212 0
教学楼三 7 3-301 0
教学楼三 7 3-302 0
教学楼三 7 3-303 0
教学楼三 7 3-304 0
教学楼三 7 3-305 0
教学楼三 7 3-306 0
教学楼三 7 3-307 0
教学楼三 7 3-308 0
教学楼三 7 3-309 0
教学楼三 7 3-310 0
教学楼三 7 3-311 0
教学楼三 7 3-312 0
教学楼三 7 3-401 0
教学楼三 7 3-402 0
教学楼三 7 3-403 0
教学楼三 7 3-404 0
教学楼三 7 3-405 0
教学楼三 7 3-406 0
教学楼三 7 3-407 0
教学楼三 7 3-408 0
教学楼三 7 3-409 0
教学楼三 7 3-410 0
教学楼三 7 3-411 0
教学楼三 7 3-412 0
教学楼三 7 3-501 0
教学楼三 7 3-502 0
教学楼三 7 3-503 0
教学楼三 7 3-504 0
教学楼三 7 3-505 0
教学楼三 7 3-506 0
教学楼三 7 3-507 0
教学楼三 7 3-508 0
教学楼三 7 3-509 0
教学楼三 7 3-510 0
教学楼三 7 3-511 0
教学楼三 7 3-512 0
教学楼三 7 3-601 0
教学楼三 7 3-602 0
教学楼三 7 3-603 0
教学楼三 7 3-604 0
教学楼三 7 3-605 0
教学楼三 7 3-606 0
教学楼三 7 3-607 0
教学楼三 7 3-608 0
教学楼三 7 3-609 0
教学楼三 7 3-610 0
教学楼三 7 3-611 0
教学楼三 7 3-612 0
教学楼三 7 3-701 0
教学楼三 7 3-702 0
教学楼三 7 3-703 0
教学楼三 7 3-704 0
教学楼三 7 3-705 0
教学楼三 7 3-706 0
教学楼三 7 3-707 0
教学楼三 7 3-708 0
教学楼三 7 3-709 0
教学楼三 7 3-710 0
教学楼三 7 3-711 0
教学楼三 7 3-712 0
教学楼四 8 4-101 0
教学楼四 8 4-102 0
教学楼四 8 4-103 0
教学楼四 8 4-104 0
教学楼四 8 4-105 0
教学楼四 8 4-106 0
教学楼四 8 4-107 0
教学楼四 8 4-108 0
教学楼四 8 4-109 0
教学楼四 8 4-110 0
教学楼四 8 4-111 0
教学楼四 8 4-112 0
教学楼四 8 4-201 0
教学楼四 8 4-202 0
教学楼四 8 4-203 0
教学楼四 8 4-204 0
教学楼四 8 4-205 0
教学楼四 8 4-206 0
教学楼四 8 4-207 0
教学楼四 8 4-208 0
教学楼四 8 4-209 0
教学楼四 8 4-210 0
教学楼四 8 4-211 0
教学楼四 8 4-212 0
教学楼四 8 4-301 0
教学楼四 8 4-302 0
教学楼四 8 4-303 0
教学楼四 8 4-304 0
教学楼四 8 4-305 0
教学楼四 8 4-306 0
教学楼四 8 4-307 0
教学楼四 8 4-308 0
教学楼四 8 4-309 0
教学楼四 8 4-310 0
教学楼四 8 4-311 0
教学楼四 8 4-312 0
教学楼四 8 4-401 0
教学楼四 8 4-402 0
教学楼四 8 4-403 0
教学楼四 8 4-404 0
教学楼四 8 4-405 0
教学楼四 8 4-406 0
教学楼四 8 4-407 0
教学楼四 8 4-408 0
教学楼四 8 4-409 0
教学楼四 8 4-410 0
教学楼四 8 4-411 0
教学楼四 8 4-412 0
教学楼四 8 4-501 0
教学楼四 8 4-502 0
教学楼四 8 4-503 0
教学楼四 8 4-504 0
教学楼四 8 4-505 0
教学楼四 8 4-506 0
教学楼四 8 4-507 0
教学楼四 8 4-508 0
教学楼四 8 4-509 0
教学楼四 8 4-510 0
教学楼四 8 4-511 0
教学楼四 8 4-512 0
教学楼四 8 4-601 0
教学楼四 8 4-602 0
教学楼四 8 4-603 0
教学楼四 8 4-604 0
教学楼四 8 4-605 0
教学楼四 8 4-606 0
教学楼四 8 4-607 0
教学楼四 8 4-608 0
教学楼四 8 4-609 0
教学楼四 8 4-610 0
教学楼四 8 4-611 0
教学楼四 8 4-612 0
教学楼四 8 4-701 0
教学楼四 8 4-702 0
教学楼四 8 4-703 0
教学楼四 8 4-704 0
教学楼四 8 4-705 0
教学楼四 8 4-706 0
教学楼四 8 4-707 0
教学楼四 8 4-708 0
教学楼四 8 4-709 0
教学楼四 8 4-710 0
教学楼四 8 4-711 0
教学楼四 8 4-712 0
教学楼四 8 4-801 0
教学楼四 8 4-802 0
教学楼四 8 4-803 0
教学楼四 8 4-804 0
教学楼四 8 4-805 0
教学楼四 8 4-806 0
教学楼四 8 4-807 0
教学楼四 8 4-808 0
教学楼四 8 4-809 0
教学楼四 8 4-810 0
教学楼四 8 4-811 0
教学楼四 8 4-812 0
教学楼五 8 5-101 0
教学楼五 8 5-102 0
教学楼五 8 5-103 0
教学楼五 8 5-104 0
教学楼五 8 5-105 0
教学楼五 8 5-106 0
教学楼五 8 5-107 0
教学楼五 8 5-108 0
教学楼五 8 5-109 0
教学楼五 8 5-110 0
教学楼五 8 5-111 0
教学楼五 8 5-112 0
教学楼五 8 5-201 0
教学楼五 8 5-202 0
教学楼五 8 5-203 0
教学楼五 8 5-204 0
教学楼五 8 5-205 0
教学楼五 8 5-206 0
教学楼五 8 5-207 0
教学楼五 8 5-208 0
教学楼五 8 5-209 0
教学楼五 8 5-210 0
教学楼五 8 5-211 0
教学楼五 8 5-212 0
教学楼五 8 5-301 0
教学楼五 8 5-302 0
教学楼五 8 5-303 0
教学楼五 8 5-304 0
教学楼五 8 5-305 0
教学楼五 8 5-306 0
教学楼五 8 5-307 0
教学楼五 8 5-308 0
教学楼五 8 5-309 0
教学楼五 8 5-310 0
教学楼五 8 5-311 0
教学楼五 8 5-312 0
教学楼五 8 5-401 0
教学楼五 8 5-402 0
教学楼五 8 5-403 0
教学楼五 8 5-404 0
教学楼五 8 5-405 0
教学楼五 8 5-406 0
教学楼五 8 5-407 0
教学楼五 8 5-408 0
教学楼五 8 5-409 0
教学楼五 8 5-410 0
教学楼五 8 5-411 0
教学楼五 8 5-412 0
教学楼五 8 5-501 0
教学楼五 8 5-502 0
教学楼五 8 5-503 0
教学楼五 8 5-504 0
教学楼五 8 5-505 0
教学楼五 8 5-506 0
教学楼五 8 5-507 0
教学楼五 8 5-508 0
教学楼五 8 5-509 0
教学楼五 8 5-510 0
教学楼五 8 5-511 0
教学楼五 8 5-512 0
教学楼五 8 5-601 0
教学楼五 8 5-602 0
教学楼五 8 5-603 0
教学楼五 8 5-604 0
教学楼五 8 5-605 0
教学楼五 8 5-606 0
教学楼五 8 5-607 0
教学楼五 8 5-608 0
教学楼五 8 5-609 0
教学楼五 8 5-610 0
教学楼五 8 5-611 0
教学楼五 8 5-612 0
教学楼五 8 5-701 0
教学楼五 8 5-702 0
教学楼五 8 5-703 0
教学楼五 8 5-704 0
教学楼五 8 5-705 0
教学楼五 8 5-706 0
教学楼五 8 5-707 0
教学楼五 8 5-708 0
教学楼五 8 5-709 0
教学楼五 8 5-710 0
教学楼五 8 5-711 0
教学楼五 8 5-712 0
教学楼五 8 5-801 0
教学楼五 8 5-802 0
教学楼五 8 5-803 0
教学楼五 8 5-804 0
教学楼五 8 5-805 0
教学楼五 8 5-806 0
教学楼五 8 5-807 0
教学楼五 8 5-808 0
教学楼五 8 5-809 0
教学楼五 8 5-810 0
教学楼五 8 5-811 0
教学楼五 8 5-812 0
综合楼A 10 A-101 0
综合楼A 10 A-102 0
综合楼A 10 A-103 0
综合楼A 10 A-104 0
综合楼A 10 A-105 0
综合楼A 10 A-106 0
综合楼A 10 A-107 0
综合楼A 10 A-108 0
综合楼A 10 A-109 0
综合楼A 10 A-110 0
综合楼A 10 A-111 0
综合楼A 10 A-112 0
综合楼A 10 A-201 0
综合楼A 10 A-202 0
综合楼A 10 A-203 0
综合楼A 10 A-204 0
综合楼A 10 A-205 0
综合楼A 10 A-206 0
综合楼A 10 A-207 0
综合楼A 10 A-208 0
综合楼A 10 A-209 0
综合楼A 10 A-210 0
综合楼A 10 A-211 0
综合楼A 10 A-212 0
综合楼A 10 A-301 0
综合楼A 10 A-302 0
综合楼A 10 A-303 0
综合楼A 10 A-304 0
综合楼A 10 A-305 0
综合楼A 10 A-306 0
综合楼A 10 A-307 0
综合楼A 10 A-308 0
综合楼A 10 A-309 0
综合楼A 10 A-310 0
综合楼A 10 A-311 0
综合楼A 10 A-312 0
综合楼A 10 A-401 0
综合楼A 10 A-402 0
综合楼A 10 A-403 0
综合楼A 10 A-404 0
综合楼A 10 A-405 0
综合楼A 10 A-406 0
综合楼A 10 A-407 0
综合楼A 10 A-408 0
综合楼A 10 A-409 0
综合楼A 10 A-410 0
综合楼A 10 A-411 0
综合楼A 10 A-412 0
综合楼A 10 A-501 0
综合楼A 10 A-502 0
综合楼A 10 A-503 0
综合楼A 10 A-504 0
综合楼A 10 A-505 0
综合楼A 10 A-506 0
综合楼A 10 A-507 0
综合楼A 10 A-508 0
综合楼A 10 A-509 0
综合楼A 10 A-510 0
综合楼A 10 A-511 0
综合楼A 10 A-512 0
综合楼A 10 A-601 0
综合楼A 10 A-602 0
综合楼A 10 A-603 0
综合楼A 10 A-604 0
综合楼A 10 A-605 0
综合楼A 10 A-606 0
综合楼A 10 A-607 0
综合楼A 10 A-608 0
综合楼A 10 A-609 0
综合楼A 10 A-610 0
综合楼A 10 A-611 0
综合楼A 10 A-612 0
综合楼A 10 A-701 0
综合楼A 10 A-702 0
综合楼A 10 A-703 0
综合楼A 10 A-704 0
综合楼A 10 A-705 0
综合楼A 10 A-706 0
综合楼A 10 A-707 0
综合楼A 10 A-708 0
综合楼A 10 A-709 0
综合楼A 10 A-710 0
综合楼A 10 A-711 0
综合楼A 10 A-712 0
综合楼A 10 A-801 0
综合楼A 10 A-802 0
综合楼A 10 A-803 0
综合楼A 10 A-804 0
综合楼A 10 A-805 0
综合楼A 10 A-806 0
综合楼A 10 A-807 0
综合楼A 10 A-808 0
综合楼A 10 A-809 0
综合楼A 10 A-810 0
综合楼A 10 A-811 0
综合楼A 10 A-812 0
综合楼A 10 A-901 0
综合楼A 10 A-902 0
综合楼A 10 A-903 0
综合楼A 10 A-904 0
综合楼A 10 A-905 0
综合楼A 10 A-906 0
综合楼A 10 A-907 0
综合楼A 10 A-908 0
综合楼A 10 A-909 0
综合楼A 10 A-910 0
综合楼A 10 A-911 0
综合楼A 10 A-912 0
综合楼A 10 A-1001 0
综合楼A 10 A-1002 0
综合楼A 10 A-1003 0
综合楼A 10 A-1004 0
综合楼A 10 A-1005 0
综合楼A 10 A-1006 0
综合楼A 10 A-1007 0
综合楼A 10 A-1008 0
综合楼A 10 A-1009 0
综合楼A 10 A-1010 0
综合楼A 10 A-1011 0
综合楼A 10 A-1012 0
综合楼B 12 B-101 0
综合楼B 12 B-102 0
综合楼B 12 B-103 0
综合楼B 12 B-104 0
综合楼B 12 B-105 0
综合楼B 12 B-106 0
综合楼B 12 B-107 0
综合楼B 12 B-108 0
综合楼B 12 B-109 0
综合楼B 12 B-110 0
综合楼B 12 B-111 0
综合楼B 12 B-112 0
综合楼B 12 B-201 0
综合楼B 12 B-202 0
综合楼B 12 B-203 0
综合楼B 12 B-204 0
综合楼B 12 B-205 0
综合楼B 12 B-206 0
综合楼B 12 B-207 0
综合楼B 12 B-208 0
综合楼B 12 B-209 0
综合楼B 12 B-210 0
综合楼B 12 B-211 0
综合楼B 12 B-212 0
综合楼B 12 B-301 0
综合楼B 12 B-302 0
综合楼B 12 B-303 0
综合楼B 12 B-304 0
综合楼B 12 B-305 0
综合楼B 12 B-306 0
综合楼B 12 B-307 0
综合楼B 12 B-308 0
综合楼B 12 B-309 0
综合楼B 12 B-310 0
综合楼B 12 B-311 0
综合楼B 12 B-312 0
综合楼B 12 B-401 0
综合楼B 12 B-402 0
综合楼B 12 B-403 0
综合楼B 12 B-404 0
综合楼B 12 B-405 0
综合楼B 12 B-406 0
综合楼B 12 B-407 0
综合楼B 12 B-408 0
综合楼B 12 B-409 0
综合楼B 12 B-410 0
综合楼B 12 B-411 0
综合楼B 12 B-412 0
综合楼B 12 B-501 0
综合楼B 12 B-502 0
综合楼B 12 B-503 0
综合楼B 12 B-504 0
综合楼B 12 B-505 0
综合楼B 12 B-506 0
综合楼B 12 B-507 0
综合楼B 12 B-508 0
综合楼B 12 B-509 0
综合楼B 12 B-510 0
综合楼B 12 B-511 0
综合楼B 12 B-512 0
综合楼B 12 B-601 0
综合楼B 12 B-602 0
综合楼B 12 B-603 0
综合楼B 12 B-604 0
综合楼B 12 B-605 0
综合楼B 12 B-606 0
综合楼B 12 B-607 0
综合楼B 12 B-608 0
综合楼B 12 B-609 0
综合楼B 12 B-610 0
综合楼B 12 B-611 0
综合楼B 12 B-612 0
综合楼B 12 B-701 0
综合楼B 12 B-702 0
综合楼B 12 B-703 0
综合楼B 12 B-704 0
综合楼B 12 B-705 0
综合楼B 12 B-706 0
综合楼B 12 B-707 0
综合楼B 12 B-708 0
综合楼B 12 B-709 0
综合楼B 12 B-710 0
综合楼B 12 B-711 0
综合楼B 12 B-712 0
综合楼B 12 B-801 0
综合楼B 12 B-802 0
综合楼B 12 B-803 0
综合楼B 12 B-804 0
综合楼B 12 B-805 0
综合楼B 12 B-806 0
综合楼B 12 B-807 0
综合楼B 12 B-808 0
综合楼B 12 B-809 0
综合楼B 12 B-810 0
综合楼B 12 B-811 0
综合楼B 12 B-812 0
综合楼B 12 B-901 0
综合楼B 12 B-902 0
综合楼B 12 B-903 0
综合楼B 12 B-904 0
综合楼B 12 B-905 0
综合楼B 12 B-906 0
综合楼B 12 B-907 0
综合楼B 12 B-908 0
综合楼B 12 B-909 0
综合楼B 12 B-910 0
综合楼B 12 B-911 0
综合楼B 12 B-912 0
综合楼B 12 B-1001 0
综合楼B 12 B-1002 0
综合楼B 12 B-1003 0
综合楼B 12 B-1004 0
综合楼B 12 B-1005 0
综合楼B 12 B-1006 0
综合楼B 12 B-1007 0
综合楼B 12 B-1008 0
综合楼B 12 B-1009 0
综合楼B 12 B-1010 0
综合楼B 12 B-1011 0
综合楼B 12 B-1012 0
综合楼B 12 B-1101 0
综合楼B 12 B-1102 0
综合楼B 12 B-1103 0
综合楼B 12 B-1104 0
综合楼B 12 B-1105 0
综合楼B 12 B-1106 0
综合楼B 12 B-1107 0
综合楼B 12 B-1108 0
综合楼B 12 B-1109 0
综合楼B 12 B-1110 0
综合楼B 12 B-1111 0
综合楼B 12 B-1112 0
综合楼B 12 B-1201 0
综合楼B 12 B-1202 0
综合楼B 12 B-1203 0
综合楼B 12 B-1204 0
综合楼B 12 B-1205 0
综合楼B 12 B-1206 0
综合楼B 12 B-1207 0
综合楼B 12 B-1208 0
综合楼B 12 B-1209 0
综合楼B 12 B-1210 0
综合楼B 12 B-1211 0
综合楼B 12 B-1212 0
综合楼C 13 C-101 0
综合楼C 13 C-102 0
综合楼C 13 C-103 0
综合楼C 13 C-104 0
综合楼C 13 C-105 0
综合楼C 13 C-106 0
综合楼C 13 C-107 0
综合楼C 13 C-108 0
综合楼C 13 C-109 0
综合楼C 13 C-110 0
综合楼C 13 C-111 0
综合楼C 13 C-112 0
综合楼C 13 C-201 0
综合楼C 13 C-202 0
综合楼C 13 C-203 0
综合楼C 13 C-204 0
综合楼C 13 C-205 0
综合楼C 13 C-206 0
综合楼C 13 C-207 0
综合楼C 13 C-208 0
综合楼C 13 C-209 0
综合楼C 13 C-210 0
综合楼C 13 C-211 0
综合楼C 13 C-212 0
综合楼C 13 C-301 0
综合楼C 13 C-302 0
综合楼C 13 C-303 0
综合楼C 13 C-304 0
综合楼C 13 C-305 0
综合楼C 13 C-306 0
综合楼C 13 C-307 0
综合楼C 13 C-308 0
综合楼C 13 C-309 0
综合楼C 13 C-310 0
综合楼C 13 C-311 0
综合楼C 13 C-312 0
综合楼C 13 C-401 0
综合楼C 13 C-402 0
综合楼C 13 C-403 0
综合楼C 13 C-404 0
综合楼C 13 C-405 0
综合楼C 13 C-406 0
综合楼C 13 C-407 0
综合楼C 13 C-408 0
综合楼C 13 C-409 0
综合楼C 13 C-410 0
综合楼C 13 C-411 0
综合楼C 13 C-412 0
综合楼C 13 C-501 0
综合楼C 13 C-502 0
综合楼C 13 C-503 0
综合楼C 13 C-504 0
综合楼C 13 C-505 0
综合楼C 13 C-506 0
综合楼C 13 C-507 0
综合楼C 13 C-508 0
综合楼C 13 C-509 0
综合楼C 13 C-510 0
综合楼C 13 C-511 0
综合楼C 13 C-512 0
综合楼C 13 C-601 0
综合楼C 13 C-602 0
综合楼C 13 C-603 0
综合楼C 13 C-604 0
综合楼C 13 C-605 0
综合楼C 13 C-606 0
综合楼C 13 C-607 0
综合楼C 13 C-608 0
综合楼C 13 C-609 0
综合楼C 13 C-610 0
综合楼C 13 C-611 0
综合楼C 13 C-612 0
综合楼C 13 C-701 0
综合楼C 13 C-702 0
综合楼C 13 C-703 0
综合楼C 13 C-704 0
综合楼C 13 C-705 0
综合楼C 13 C-706 0
综合楼C 13 C-707 0
综合楼C 13 C-708 0
综合楼C 13 C-709 0
综合楼C 13 C-710 0
综合楼C 13 C-711 0
综合楼C 13 C-712 0
综合楼C 13 C-801 0
综合楼C 13 C-802 0
综合楼C 13 C-803 0
综合楼C 13 C-804 0
综合楼C 13 C-805 0
综合楼C 13 C-806 0
综合楼C 13 C-807 0
综合楼C 13 C-808 0
综合楼C 13 C-809 0
综合楼C 13 C-810 0
综合楼C 13 C-811 0
综合楼C 13 C-812 0
综合楼C 13 C-901 0
综合楼C 13 C-902 0
综合楼C 13 C-903 0
综合楼C 13 C-904 0
综合楼C 13 C-905 0
综合楼C 13 C-906 0
综合楼C 13 C-907 0
综合楼C 13 C-908 0
综合楼C 13 C-909 0
综合楼C 13 C-910 0
综合楼C 13 C-911 0
综合楼C 13 C-912 0
综合楼C 13 C-1001 0
综合楼C 13 C-1002 0
综合楼C 13 C-1003 0
综合楼C 13 C-1004 0
综合楼C 13 C-1005 0
综合楼C 13 C-1006 0
综合楼C 13 C-1007 0
综合楼C 13 C-1008 0
综合楼C 13 C-1009 0
综合楼C 13 C-1010 0
综合楼C 13 C-1011 0
综合楼C 13 C-1012 0
综合楼C 13 C-1101 0
综合楼C 13 C-1102 0
综合楼C 13 C-1103 0
综合楼C 13 C-1104 0
综合楼C 13 C-1105 0
综合楼C 13 C-1106 0
综合楼C 13 C-1107 0
综合楼C 13 C-1108 0
综合楼C 13 C-1109 0
综合楼C 13 C-1110 0
综合楼C 13 C-1111 0
综合楼C 13 C-1112 0
综合楼C 13 C-1201 0
综合楼C 13 C-1202 0
综合楼C 13 C-1203 0
综合楼C 13 C-1204 0
综合楼C 13 C-1205 0
综合楼C 13 C-1206 0
综合楼C 13 C-1207 0
综合楼C 13 C-1208 0
综合楼C 13 C-1209 0
综合楼C 13 C-1210 0
综合楼C 13 C-1211 0
综合楼C 13 C-1212 0
综合楼C 13 C-1301 0
综合楼C 13 C-1302 0
综合楼C 13 C-1303 0
综合楼C 13 C-1304 0
综合楼C 13 C-1305 0
综合楼C 13 C-1306 0
综合楼C 13 C-1307 0
综合楼C 13 C-1308 0
综合楼C 13 C-1309 0
综合楼C 13 C-1310 0
综合楼C 13 C-1311 0
综合楼C 13 C-1312 0
